Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,FirstName,Season
Edouard Mendy,5.646906,GK,Chelsea,1,Leeds,5.1,FALSE,Mendy,2021
Alex McCarthy,5.051674,GK,Southampton,1,Brighton and Hove Albion,4.5,TRUE,McCarthy,2021
Vicente Guaita,4.67376,GK,Crystal Palace,1,West Bromwich Albion,4.8,TRUE,Guaita,2021
Illan Meslier,4.4402413,GK,Leeds,1,Chelsea,4.6,TRUE,Meslier,2021
Rui Pedro dos Santos PatrÃ­cio,4.3811283,GK,Wolverhampton Wanderers,1,Liverpool,5.3,TRUE,PatrÃ­cio,2021
Robert SÃ¡nchez,4.3769712,GK,Brighton and Hove Albion,1,Southampton,4.5,FALSE,SÃ¡nchez,2021
Thomas McGill,4.3769712,GK,Brighton and Hove Albion,1,Southampton,3.9,FALSE,McGill,2021
Ã˜rjan Nyland,4.3769712,GK,Aston Villa,0,Newcastle United,4,FALSE,Nyland,2021
Scott Carson,4.3769712,GK,Manchester City,1,Fulham,3.9,FALSE,Carson,2021
Jordan Pickford,4.309762,GK,Everton,1,Burnley,4.8,TRUE,Pickford,2021
Alphonse Areola,3.5590713,GK,Fulham,1,Manchester City,4.5,TRUE,Areola,2021
Joe Hart,3.0965528,GK,Tottenham Hotspur,1,Arsenal,4.3,FALSE,Hart,2021
Bernd Leno,3.0843396,GK,Arsenal,1,Tottenham Hotspur,5,TRUE,Leno,2021
Darren Randolph,2.5980718,GK,West Ham United,0.75,Manchester United,4.3,FALSE,Randolph,2021
Sam Johnstone,2.572929,GK,West Bromwich Albion,1,Crystal Palace,4.5,FALSE,Johnstone,2021
Dean Henderson,2.3400118,GK,Manchester United,1,West Ham United,5.2,TRUE,Henderson,2021
Kasper Schmeichel,1.6065261,GK,Leicester City,1,Sheffield United,5.5,TRUE,Schmeichel,2021
Mathew Ryan,1.1823927,GK,Arsenal,1,Tottenham Hotspur,4.2,TRUE,Ryan,2021
Hugo Lloris,1.1383617,GK,Tottenham Hotspur,1,Arsenal,5.6,FALSE,Lloris,2021
Karl Darlow,1.0078064,GK,Newcastle United,1,Aston Villa,5,TRUE,Darlow,2021
Roberto Jimenez Gago,0.9838639,GK,West Ham United,0,Manchester United,4.5,FALSE,Roberto,2021
Zack Steffen,0.9731047,GK,Manchester City,1,Fulham,4.4,FALSE,Steffen,2021
Liam Hughes,0.9328627,GK,Liverpool,1,Wolverhampton Wanderers,4,FALSE,Hughes,2021
Martin Dubravka,0.9291179,GK,Newcastle United,1,Aston Villa,4.8,TRUE,Dubravka,2021
Tom Heaton,0.89868665,GK,Aston Villa,1,Newcastle United,4.5,FALSE,Heaton,2021
Robin Olsen,0.7908654,GK,Everton,0.75,Burnley,4.5,TRUE,Olsen,2021
Lukasz Fabianski,0.607382,GK,West Ham United,1,Manchester United,5,FALSE,Fabianski,2021
Fraser Forster,0.56003195,GK,Southampton,1,Brighton and Hove Albion,4,TRUE,Forster,2021
Kepa Arrizabalaga,0.08451381,GK,Chelsea,1,Leeds,4.7,FALSE,Arrizabalaga,2021
Ederson Santana de Moraes,0.07253903,GK,Manchester City,1,Fulham,6.1,FALSE,Ederson,2021
Aaron Ramsdale,0.059557773,GK,Sheffield United,1,Leicester City,4.6,FALSE,Ramsdale,2021
Jack Butland,0.025448108,GK,Crystal Palace,1,West Bromwich Albion,4.5,TRUE,Butland,2021
Lee Grant,0.025448108,GK,Manchester United,1,West Ham United,4,TRUE,Grant,2021
John Ruddy,0.01913762,GK,Wolverhampton Wanderers,1,Liverpool,4.3,TRUE,Ruddy,2021
Sergio Romero,0.01913762,GK,Manchester United,0,West Ham United,4.9,TRUE,Romero,2021
Francisco Casilla CortÃ©s,0.014968167,GK,Leeds,1,Chelsea,4.2,TRUE,Casilla,2021
Daniel Langley,0.014968167,GK,Newcastle United,1,Aston Villa,4,TRUE,Langley,2021
Matt Macey,0.014968167,GK,Arsenal,0,Tottenham Hotspur,4,TRUE,Macey,2021
RÃºnar Alex RÃºnarsson,0.014968167,GK,Arsenal,1,Tottenham Hotspur,4.4,TRUE,RÃºnarsson,2021
Stephen Henderson,0.014968167,GK,Crystal Palace,1,West Bromwich Albion,4,TRUE,Henderson,2021
Mark Gillespie,0.014968167,GK,Newcastle United,1,Aston Villa,4.3,TRUE,Gillespie,2021
Marek RodÃ¡k,0.014968167,GK,Fulham,0.25,Manchester City,4.3,TRUE,RodÃ¡k,2021
Jonas LÃ¶ssl,0.014968167,GK,Everton,0,Burnley,4.3,TRUE,LÃ¶ssl,2021
Danny Ward,0.014968167,GK,Leicester City,1,Sheffield United,4.3,TRUE,Ward,2021
Andreas SÃ¶ndergaard,0.014968167,GK,Wolverhampton Wanderers,1,Liverpool,4,TRUE,SÃ¶ndergaard,2021
Matija Sarkic,0.014968167,GK,Wolverhampton Wanderers,0,Liverpool,4.4,TRUE,Sarkic,2021
JoÃ£o VirgÃ­nia,0.014968167,GK,Everton,1,Burnley,4.3,TRUE,VirgÃ­nia,2021
Kamil Miazek,0.014968167,GK,Leeds,0,Chelsea,4,TRUE,Miazek,2021
Harry Lewis,0.014968167,GK,Southampton,1,Brighton and Hove Albion,4,TRUE,Lewis,2021
Elia Caprile,0.014968167,GK,Leeds,1,Chelsea,4,TRUE,Caprile,2021
Fabricio Agosto RamÃ­rez,0.014968167,GK,Fulham,1,Manchester City,3.9,TRUE,Fabri,2021
Harry Tyrer,0.014968167,GK,Everton,1,Burnley,4,TRUE,Tyrer,2021
Marcus Bettinelli,0.010335125,GK,Fulham,0,Manchester City,4.3,TRUE,Bettinelli,2021
Angus Gunn,0.009488544,GK,Southampton,0,Brighton and Hove Albion,4.3,TRUE,Gunn,2021
Wayne Hennessey,0.008046546,GK,Crystal Palace,0.75,West Bromwich Albion,4.3,TRUE,Hennessey,2021
Nick Pope,0.005217269,GK,Burnley,1,Everton,5.6,FALSE,Pope,2021
Willy Caballero,-0.000298281,GK,Chelsea,1,Leeds,4.6,FALSE,Caballero,2021
Claudio Bravo,-0.00493132,GK,Manchester City,0,Fulham,4.5,FALSE,Bravo,2021
Jed Steer,-0.006608768,GK,Aston Villa,1,Newcastle United,3.9,FALSE,Steer,2021
Will Norris,-0.006608768,GK,Burnley,1,Everton,4,FALSE,Norris,2021
Christian Walton,-0.010778227,GK,Brighton and Hove Albion,1,Southampton,4,FALSE,Walton,2021
Nathan Trott,-0.010778227,GK,West Ham United,1,Manchester United,4,FALSE,Trott,2021
AdriÃ¡n San Miguel del Castillo,-0.010778227,GK,Liverpool,1,Wolverhampton Wanderers,4.2,FALSE,AdriÃ¡n,2021
Jason Steele,-0.010778227,GK,Brighton and Hove Albion,1,Southampton,3.9,FALSE,Steele,2021
David Martin,-0.010778227,GK,West Ham United,1,Manchester United,3.9,FALSE,Martin,2021
Emiliano MartÃ­nez,-0.010778227,GK,Aston Villa,1,Newcastle United,5.4,FALSE,MartÃ­nez,2021
Michael Verrips,-0.010778227,GK,Sheffield United,0,Leicester City,4,FALSE,Verrips,2021
Wes Foderingham,-0.010778227,GK,Sheffield United,1,Leicester City,4.3,FALSE,Foderingham,2021
Karlo Ziger,-0.010778227,GK,Chelsea,1,Leeds,4,FALSE,Ziger,2021
James Trafford,-0.010778227,GK,Manchester City,1,Fulham,4,FALSE,Trafford,2021
Andy Lonergan,-0.010778227,GK,West Bromwich Albion,1,Crystal Palace,4,FALSE,Lonergan,2021
Paulo Gazzaniga,-0.010778227,GK,Tottenham Hotspur,0,Arsenal,4.3,FALSE,Gazzaniga,2021
Jakub Ojrzynski,-0.010778227,GK,Liverpool,1,Wolverhampton Wanderers,4,FALSE,Ojrzynski,2021
Simon Moore,-0.015411267,GK,Sheffield United,0,Leicester City,4.3,FALSE,Moore,2021
Bailey Peacock-Farrell,-0.015411267,GK,Burnley,1,Everton,4,FALSE,Peacock-Farrell,2021
David Button,-0.016257847,GK,West Bromwich Albion,1,Crystal Palace,3.9,FALSE,Button,2021
Caoimhin Kelleher,-0.28328788,GK,Liverpool,0.75,Wolverhampton Wanderers,4.5,FALSE,Kelleher,2021
Alisson Ramses Becker,-0.28600135,GK,Liverpool,1,Wolverhampton Wanderers,5.9,FALSE,Alisson,2021
David de Gea,-0.58729833,GK,Manchester United,0,West Ham United,5.3,TRUE,de Gea,2021
Ricardo Domingos Barbosa Pereira,5.6172094,DEF,Leicester City,1,Sheffield United,5.9,TRUE,Pereira,2021
Stuart Dallas,4.8966627,DEF,Leeds,1,Chelsea,5,TRUE,Dallas,2021
Luke Shaw,4.6589885,DEF,Manchester United,1,West Ham United,5.2,TRUE,Shaw,2021
Timothy Castagne,4.614837,DEF,Leicester City,1,Sheffield United,5.7,TRUE,Castagne,2021
Aaron Wan-Bissaka,4.6040735,DEF,Manchester United,1,West Ham United,5.7,TRUE,Wan-Bissaka,2021
Kieran Tierney,4.5599146,DEF,Arsenal,1,Tottenham Hotspur,5.2,TRUE,Tierney,2021
Lucas Digne,4.462152,DEF,Everton,1,Burnley,6.2,TRUE,Digne,2021
Tosin Adarabioyo,4.4135714,DEF,Fulham,1,Manchester City,4.5,TRUE,Adarabioyo,2021
Joachim Andersen,4.394083,DEF,Fulham,1,Manchester City,4.5,TRUE,Andersen,2021
Matthew Lowton,4.3922987,DEF,Burnley,1,Everton,4.5,FALSE,Lowton,2021
Gary Cahill,4.3333693,DEF,Crystal Palace,1,West Bromwich Albion,4.5,TRUE,Cahill,2021
Kenny Tete,4.271438,DEF,Fulham,1,Manchester City,4.3,TRUE,Tete,2021
Ben Davies,4.270083,DEF,Liverpool,1,Wolverhampton Wanderers,4.9,FALSE,Davies,2021
Ciaran Clark,4.2036157,DEF,Newcastle United,1,Aston Villa,4.5,TRUE,Clark,2021
Jannik Vestergaard,4.091529,DEF,Southampton,1,Brighton and Hove Albion,4.7,TRUE,Vestergaard,2021
Joel Ward,4.0876184,DEF,Crystal Palace,1,West Bromwich Albion,4.3,TRUE,Ward,2021
Romain SaÃ¯ss,3.979371,DEF,Wolverhampton Wanderers,1,Liverpool,4.9,TRUE,SaÃ¯ss,2021
Ã‡aglar SÃ¶yÃ¼ncÃ¼,3.979371,DEF,Leicester City,1,Sheffield United,5.3,TRUE,SÃ¶yÃ¼ncÃ¼,2021
NÃ©lson Cabral Semedo,3.979371,DEF,Wolverhampton Wanderers,1,Liverpool,5.2,TRUE,Semedo,2021
Jan Bednarek,3.9572384,DEF,Southampton,1,Brighton and Hove Albion,4.9,TRUE,Bednarek,2021
Luke Ayling,3.9412374,DEF,Leeds,1,Chelsea,4.4,TRUE,Ayling,2021
Ryan Bertrand,3.8675652,DEF,Southampton,1,Brighton and Hove Albion,5,TRUE,Bertrand,2021
Liam Cooper,3.8513036,DEF,Leeds,1,Chelsea,4.3,TRUE,Cooper,2021
Harry Maguire,3.6299145,DEF,Manchester United,1,West Ham United,5.5,TRUE,Maguire,2021
Mason Holgate,3.4874346,DEF,Everton,1,Burnley,4.8,TRUE,Holgate,2021
Conor Coady,3.4497333,DEF,Wolverhampton Wanderers,1,Liverpool,4.8,TRUE,Coady,2021
Patrick van Aanholt,3.4357173,DEF,Crystal Palace,1,West Bromwich Albion,5.4,TRUE,van Aanholt,2021
Conor Townsend,3.3888469,DEF,West Bromwich Albion,1,Crystal Palace,4.4,FALSE,Townsend,2021
Michael Keane,3.3413978,DEF,Everton,1,Burnley,5.1,TRUE,Keane,2021
Matt Doherty,3.2924914,DEF,Tottenham Hotspur,1,Arsenal,5.6,FALSE,Doherty,2021
Wesley Fofana,3.2886417,DEF,Leicester City,1,Sheffield United,5,TRUE,Fofana,2021
Jamaal Lascelles,3.2839448,DEF,Newcastle United,1,Aston Villa,4.2,TRUE,Lascelles,2021
Kyle Walker-Peters,3.2725635,DEF,Southampton,1,Brighton and Hove Albion,4.7,TRUE,Walker-Peters,2021
Phil Bardsley,3.2442799,DEF,Burnley,1,Everton,4.4,FALSE,Bardsley,2021
Thiago Thiago,3.2268884,DEF,Chelsea,0,Leeds,5.6,FALSE,Thiago Silva,2021
Jamal Lewis,3.1276658,DEF,Newcastle United,1,Aston Villa,4.2,TRUE,Lewis,2021
Ola Aina,3.0578544,DEF,Fulham,1,Manchester City,4.5,TRUE,Aina,2021
Ainsley Maitland-Niles,3.053007,DEF,West Bromwich Albion,1,Crystal Palace,4.6,FALSE,Maitland-Niles,2021
Shane Duffy,3.0521908,DEF,Brighton and Hove Albion,0,Southampton,4.3,FALSE,Duffy,2021
David Luiz Moreira Marinho,3.045821,DEF,Arsenal,1,Tottenham Hotspur,5.4,TRUE,David Luiz,2021
Emil Krafth,3.0457618,DEF,Newcastle United,1,Aston Villa,4.2,TRUE,Krafth,2021
Diego Llorente,2.9222584,DEF,Leeds,1,Chelsea,4.4,TRUE,Llorente,2021
Ethan Ampadu,2.868051,DEF,Sheffield United,1,Leicester City,4.3,FALSE,Ampadu,2021
Rhys Williams,2.8272414,DEF,Liverpool,1,Wolverhampton Wanderers,4,FALSE,Rhys Williams,2021
Ben Godfrey,2.824494,DEF,Everton,1,Burnley,5,TRUE,Godfrey,2021
Joe Rodon,2.689781,DEF,Tottenham Hotspur,1,Arsenal,5,FALSE,Rodon,2021
Victor LindelÃ¶f,2.6548152,DEF,Manchester United,1,West Ham United,4.8,TRUE,LindelÃ¶f,2021
Oluwasemilogo Adesewo Ibidapo Ajayi,2.525015,DEF,West Bromwich Albion,1,Crystal Palace,4.8,FALSE,Ajayi,2021
Kean Bryan,2.5174556,DEF,Sheffield United,1,Leicester City,3.9,FALSE,Bryan,2021
Phil Jagielka,2.5036721,DEF,Sheffield United,1,Leicester City,3.9,FALSE,Jagielka,2021
Jonathan Castro Otto,2.4975119,DEF,Wolverhampton Wanderers,1,Liverpool,5.4,TRUE,Jonny,2021
Fikayo Tomori,2.4647882,DEF,Chelsea,0,Leeds,4.7,FALSE,Tomori,2021
Anthony Driscoll-Glennon,2.4243128,DEF,Burnley,1,Everton,4,FALSE,Driscoll-Glennon,2021
Neil Taylor,2.38524,DEF,Aston Villa,1,Newcastle United,4.2,FALSE,Taylor,2021
RÃºben Santos Gato Alves Dias,2.3319654,DEF,Manchester City,1,Fulham,6.1,FALSE,Dias,2021
FrÃ©dÃ©ric Guilbert,2.3319654,DEF,Aston Villa,0,Newcastle United,4.3,FALSE,Guilbert,2021
Taylor Harwood-Bellis,2.3319654,DEF,Manchester City,0,Fulham,4,FALSE,Harwood-Bellis,2021
CÃ©sar Azpilicueta,2.3319654,DEF,Chelsea,1,Leeds,5.8,FALSE,Azpilicueta,2021
Kyron Gordon,2.3319654,DEF,Sheffield United,1,Leicester City,4,FALSE,Gordon,2021
Sergio ReguilÃ³n,2.1170127,DEF,Tottenham Hotspur,1,Arsenal,5.5,FALSE,ReguilÃ³n,2021
Fernando Luiz Rosa,2.049287,DEF,Manchester City,1,Fulham,5.4,FALSE,Fernandinho,2021
Max Lowe,2.0469668,DEF,Sheffield United,1,Leicester City,4.3,FALSE,Lowe,2021
Ben Gibson,1.8128009,DEF,Burnley,0,Everton,3.9,FALSE,Gibson,2021
Antonee Robinson,1.6114594,DEF,Fulham,1,Manchester City,4.4,TRUE,Robinson,2021
Trent Alexander-Arnold,1.5333277,DEF,Liverpool,1,Wolverhampton Wanderers,7.4,FALSE,Alexander-Arnold,2021
Jonny Evans,1.5218536,DEF,Leicester City,0.75,Sheffield United,5.5,TRUE,Evans,2021
Seamus Coleman,1.4388438,DEF,Everton,1,Burnley,4.8,TRUE,Coleman,2021
Gabriel MagalhÃ£es,1.391821,DEF,Arsenal,1,Tottenham Hotspur,4.9,TRUE,Gabriel,2021
Joe Bryan,1.3120205,DEF,Fulham,1,Manchester City,4.6,TRUE,Bryan,2021
Rob Holding,1.2381393,DEF,Arsenal,1,Tottenham Hotspur,4.3,TRUE,Holding,2021
Paul Dummett,1.2347151,DEF,Newcastle United,1,Aston Villa,4.4,TRUE,Dummett,2021
Rayan Ait Nouri,1.233931,DEF,Wolverhampton Wanderers,1,Liverpool,5,TRUE,Ait Nouri,2021
Eric Bailly,1.1745371,DEF,Manchester United,1,West Ham United,4.8,TRUE,Bailly,2021
Japhet Tanganga,1.141739,DEF,Tottenham Hotspur,1,Arsenal,4.9,FALSE,Tanganga,2021
Matthew Cash,1.0994143,DEF,Aston Villa,1,Newcastle United,5,FALSE,Cash,2021
Branislav Ivanovic,1.061052,DEF,West Bromwich Albion,1,Crystal Palace,4.4,FALSE,Ivanovic,2021
Fernando MarÃ§al,1.0589856,DEF,Wolverhampton Wanderers,0.25,Liverpool,4.7,TRUE,MarÃ§al,2021
Javier Manquillo,1.0352064,DEF,Newcastle United,1,Aston Villa,4.2,TRUE,Manquillo,2021
Calum Chambers,1.0262575,DEF,Arsenal,1,Tottenham Hotspur,4.5,TRUE,Chambers,2021
Ki-Jana Hoever,1.0182897,DEF,Wolverhampton Wanderers,1,Liverpool,4.4,TRUE,Hoever,2021
Lewis Dunk,0.9977471,DEF,Brighton and Hove Albion,1,Southampton,4.9,FALSE,Dunk,2021
James Tarkowski,0.98444116,DEF,Burnley,1,Everton,5.3,FALSE,Tarkowski,2021
Scott Dann,0.97692895,DEF,Crystal Palace,1,West Bromwich Albion,4.3,TRUE,Dann,2021
Max Kilman,0.96805465,DEF,Wolverhampton Wanderers,1,Liverpool,4,TRUE,Kilman,2021
Lee Peltier,0.93599856,DEF,West Bromwich Albion,1,Crystal Palace,4,FALSE,Peltier,2021
HÃ©ctor BellerÃ­n,0.9235879,DEF,Arsenal,1,Tottenham Hotspur,5.1,TRUE,BellerÃ­n,2021
Pablo MarÃ­,0.9235879,DEF,Arsenal,1,Tottenham Hotspur,4.4,TRUE,MarÃ­,2021
Adam Webster,0.91032237,DEF,Brighton and Hove Albion,0,Southampton,4.3,FALSE,Webster,2021
Joseph Gomez,0.8755198,DEF,Liverpool,0,Wolverhampton Wanderers,5.2,FALSE,Gomez,2021
Mohammed Salisu,0.8743774,DEF,Southampton,1,Brighton and Hove Albion,4.3,TRUE,Salisu,2021
Kortney Hause,0.8560653,DEF,Aston Villa,0.25,Newcastle United,4.4,FALSE,Hause,2021
CÃ©dric Soares,0.84999055,DEF,Arsenal,1,Tottenham Hotspur,4.6,TRUE,CÃ©dric,2021
Tariq Lamptey,0.84620035,DEF,Brighton and Hove Albion,0,Southampton,4.6,FALSE,Lamptey,2021
Nathan AkÃ©,0.8441199,DEF,Manchester City,1,Fulham,5.4,FALSE,AkÃ©,2021
